time,lat,long,throttle
85.4,44.49266469,-79.18132701,97.5
85.45,44.49267181,-79.18133601,97.5
85.5,44.49267911,-79.18134488,97.5
85.55,44.49268656,-79.18135362,97.5
85.6,44.49269417,-79.18136214,97.5
85.65,44.49270193,-79.18137046,97.5
85.7,44.49270978,-79.18137864,97.5
85.75,44.49271771,-79.18138669,97.5
85.8,44.4927258,-79.1813947,97.5
85.85,44.49273405,-79.18140268,97.5
85.9,44.49274235,-79.18141061,97.5
85.95,44.49275072,-79.18141851,97.5
86.0,44.49275914,-79.18142643,97.5
86.05,44.4927676,-79.18143437,97.5
86.1,44.49277606,-79.18144228,97.5
86.15,44.49278452,-79.18145016,97.5
86.2,44.49279306,-79.1814582,97.5
86.25,44.49280168,-79.18146637,97.5
86.3,44.49281028,-79.1814746,97.5
86.35,44.49281888,-79.18148289,97.5
86.4,44.49282746,-79.18149119,97.5
86.45,44.49283602,-79.18149951,97.5
86.5,44.49284462,-79.18150796,97.5
86.55,44.49285324,-79.18151654,97.5
86.6,44.4928619,-79.18152511,97.5
86.65,44.49287058,-79.18153368,97.5
86.7,44.49287931,-79.18154239,97.5
86.75,44.49288809,-79.18155123,97.5
86.8,44.49289678,-79.18156017,97.5189
86.85,44.49290538,-79.1815692,97.5744
86.9,44.49291398,-79.18157837,97.57
86.95,44.49292257,-79.18158767,97.5144
87.0,44.49293114,-79.18159707,97.5411
87.05,44.49293969,-79.18160656,97.5967
87.1,44.49294822,-79.1816162,97.5478
87.15,44.49295673,-79.18162599,97.5
87.2,44.49296525,-79.18163583,97.5
87.25,44.49297378,-79.18164573,97.5189
87.3,44.49298231,-79.18165567,97.5744
87.35,44.49299084,-79.18166564,97.6
87.4,44.49299935,-79.18167574,97.6
87.45,44.49300784,-79.18168598,97.5589
87.5,44.49301624,-79.18169634,97.5033
87.55,44.49302457,-79.18170683,97.5
87.6,44.49303284,-79.18171749,97.5078
87.65,44.49304107,-79.18172831,97.5633
87.7,44.49304923,-79.18173926,97.6
87.75,44.49305732,-79.18175035,97.6
87.8,44.4930653,-79.18176166,97.6
87.85,44.49307318,-79.18177317,97.6
87.9,44.49308097,-79.18178474,97.6411
87.95,44.4930887,-79.18179637,97.6967
88.0,44.49309637,-79.18180821,97.7
88.05,44.49310397,-79.18182023,96.6656
88.1,44.4931115,-79.18183235,89.2767
88.15,44.49311896,-79.18184455,78.0533
88.2,44.49312635,-79.18185688,59.3867
88.25,44.49313367,-79.1818693,48.37
88.3,44.49314078,-79.1818819,43.87
88.35,44.49314768,-79.18189464,40.48
88.4,44.4931544,-79.18190739,37.48
88.45,44.49316095,-79.18192014,34.8978
88.5,44.49316717,-79.18193291,32.8633
88.55,44.49317308,-79.1819457,34.03
88.6,44.49317868,-79.18195856,34.7622
88.65,44.493184,-79.18197147,34.6511
88.7,44.49318903,-79.18198436,32.2
88.75,44.49319379,-79.18199721,27.7556
88.8,44.49319824,-79.18201011,27.71
88.85,44.4932024,-79.18202306,29.21
88.9,44.49320609,-79.18203612,32.59
88.95,44.49320934,-79.18204929,35.8256
89.0,44.49321206,-79.18206247,37.4367
89.05,44.49321429,-79.18207565,38.8778
89.1,44.49321623,-79.18208883,39.9889
89.15,44.49321791,-79.18210202,42.24
89.2,44.49321915,-79.1821151,45.4622
89.25,44.49321998,-79.18212811,47.2456
89.3,44.49322035,-79.18214105,48.5233
89.35,44.4932203,-79.18215393,51.7333
89.4,44.49321989,-79.18216669,54.5689
